Date(YYYY-MM-DD hh:mm:ss),Username,Country Code,Tweet Id,Original Tweet,Cleaned Tweet,Tweet URL,Sentiment Score(-1 <= x <= 1)
2020-10-07 07:59:40,seaquest1,us,1313750829443289089,@senatemajldr She like trump is a supers preader,She like trump is a supers preader,https://twitter.com/seaquest1/status/1313750829443289089,0.0
2020-10-07 07:59:40,CandiMathis,us,1313750830026235905,"@equiss_folly @AllanBell247 Oh, yeah. She's great. Kevin Kruse also. But again, everyone with credibility has spoken out against Trump",folly Oh yeah She s great Kevin Kruse also But again everyone with credibility has spoken out against Trump,https://twitter.com/CandiMathis/status/1313750830026235905,0.8
2020-10-07 07:59:40,frederickmcfred,None,1313750830538002432,"@DohaMadani Trump has no plan to stop this pandemic.  Counting on a vaccine that may not be available or even work is not a plan.  

This pandemic will continue and these 6 month stop gaps funding programs will not be enough.  

We need a plan to stop this pandemic.",Trump has no plan to stop this pandemic Counting on a vaccine that may not be available or even work is not a plan This pandemic will continue and these 6 month stop gaps funding programs will not be enough We need a plan to stop this pandemic,https://twitter.com/frederickmcfred/status/1313750830538002432,0.2
2020-10-07 07:59:41,AshleyBartels8,us,1313750831280390145,@SpeakerPelosi How does it feel to finally get exposed for the Vile evil person you are.. I’m glad you got caught at the Salon. We the people are sick of you.. Trump 2020,How does it feel to finally get exposed for the Vile evil person you are I m glad you got caught at the Salon We the people are sick of you Trump 2020,https://twitter.com/AshleyBartels8/status/1313750831280390145,-0.3035714285714286
2020-10-07 07:59:41,GarM1818,us,1313750832513527808,@ocmomforanthem @KSG01217293 @realDonaldTrump Hate Trump @realDonaldTrump,Hate Trump,https://twitter.com/GarM1818/status/1313750832513527808,-0.8
2020-10-07 07:59:41,Jashan_Deep046,None,1313750833234882561,Biden against second debate if Trump still suffers from COVID-19 https://t.co/3sonacY0QK,Biden against second debate if Trump still suffers from COVID 19,https://twitter.com/Jashan_Deep046/status/1313750833234882561,-0.3
2020-10-07 07:59:41,IsabelV78813794,us,1313750834681917441,"@eric_stutzman5 @michellegren19 @jkmyers @theadkpratt @davenewworld_2 Ok! Put the children in danger, because WHO CARES IF KIDS DIE? IT'S NOT THAT BAD, Kids don't DIE that much... A few people dead here or there... Who cares! There's stairs and suicide!
Doing nothing is the STRONGEST thing to do. The greatest thing ever done is what Trump has done. https://t.co/wfsSs2bB0D",stutzman5 2 Ok Put the children in danger because WHO CARES IF KIDS DIE IT S NOT THAT BAD Kids don t DIE that much A few people dead here or there Who cares There s stairs and suicide Doing nothing is the STRONGEST thing to do The greatest thing ever done is what Trump has done,https://twitter.com/IsabelV78813794/status/1313750834681917441,0.08000000000000003
2020-10-07 07:59:42,neodog1,nl,1313750835759849473,"@realDonaldTrump NOT TODAY,,,TRUMP!!!",NOT TODAY TRUMP,https://twitter.com/neodog1/status/1313750835759849473,0.0
2020-10-07 07:59:42,heavenlyitalian,us,1313750836858826754,THESE 2 ARE GUITY AS SIN...PROSECUTE,THESE 2 ARE GUITY AS SIN PROSECUTE,https://twitter.com/heavenlyitalian/status/1313750836858826754,0.0
2020-10-07 07:59:42,AndreaTodss,au,1313750838972563457,"@benshapiro I can't tell if you truly believe this or if you're just saying it for publicity, but you have to be so blind to think that Biden is radical. If you watched the debate you would have seen how much more reasonable Biden was, whereas Trump doesn't even condem his radical supporters",I can t tell if you truly believe this or if you re just saying it for publicity but you have to be so blind to think that Biden is radical If you watched the debate you would have seen how much more reasonable Biden was whereas Trump doesn t even condem his radical supporters,https://twitter.com/AndreaTodss/status/1313750838972563457,0.06666666666666668
2020-10-07 07:59:43,VaderDonald,None,1313750842269409280,"@TheRickyDavila Nope. Biden should not give Trump the propaganda victory.

The Commission on Presidential Debates should decide to cancel it if it cannot be done safely. Why the hell don’t they do it remotely? Easier to cut Trump’s mic that way too.",Nope Biden should not give Trump the propaganda victory The Commission on Presidential Debates should decide to cancel it if it cannot be done safely Why the hell don t they do it remotely Easier to cut Trump s mic that way too,https://twitter.com/VaderDonald/status/1313750842269409280,0.10000000000000002
2020-10-07 07:59:43,MissyBenson14,us,1313750843003416576,"@FADDERALL @SeanPenn Lol, FYI; Pres. Trump is not trying, he IS President! He has well over 325 proven accomplishments for the benefit of all Americans, literally making him the most successful President in history! FACTS!👍🏻😁🇺🇸",Lol FYI Pres Trump is not trying he IS President He has well over 325 proven accomplishments for the benefit of all Americans literally making him the most successful President in history FACTS,https://twitter.com/MissyBenson14/status/1313750843003416576,0.6833333333333332
2020-10-07 07:59:44,ElliottRook,us,1313750843590496256,he's nearly as prolific as stan twitter,he s nearly as prolific as stan twitter,https://twitter.com/ElliottRook/status/1313750843590496256,0.1
2020-10-07 07:59:44,Essajayjay,None,1313750843645030402,@scotty_kiker @SaveUnborn @gatewaypundit Most immigrants love Trump. #LatinosporTrump,kiker Most immigrants love Trump LatinosporTrump,https://twitter.com/Essajayjay/status/1313750843645030402,0.5
2020-10-07 07:59:44,shehzadyounis,None,1313750844286939136,"October Surprise? You Ain't Seen Nothing Yet  [""https://t.co/4WeHaGdDuc""]",October Surprise You Ain t Seen Nothing Yet,https://twitter.com/shehzadyounis/status/1313750844286939136,0.0
2020-10-07 07:59:44,Anne27571448,None,1313750845226393600,"@mmichela__ @jjdpower1970 @JoeBiden Trump has condemned White supremacy multiple times!  It is STUPID OF Wallace to ask the Question, yet again, when he SHOUKD KNOW THE ANSWER!!
DATED:  08/14/2017

YOU WON’T WATCH THE VIDEO BECAUSE YOU DON’T WANT TO HEAR THE TRUTH!",Trump has condemned White supremacy multiple times It is STUPID OF Wallace to ask the Question yet again when he SHOUKD KNOW THE ANSWER DATED 08 14 2017 YOU WON T WATCH THE VIDEO BECAUSE YOU DON T WANT TO HEAR THE TRUTH,https://twitter.com/Anne27571448/status/1313750845226393600,-0.26666666666666666
2020-10-07 07:59:44,GRainoldRN,None,1313750846241267713,"@WEdwarda @benshapiro Ben, please don’t. You know Trump has taken heaps of shit from the left, the likes of which have never been endured by a sitting president. Let’s go to battle. Don’t disappoint us.",Ben please don t You know Trump has taken heaps of shit from the left the likes of which have never been endured by a sitting president Let s go to battle Don t disappoint us,https://twitter.com/GRainoldRN/status/1313750846241267713,-0.1
2020-10-07 07:59:44,Glosuzanne,gb,1313750847009050625,I would like to see Trump's XRays!,I would like to see Trump s XRays,https://twitter.com/Glosuzanne/status/1313750847009050625,0.0
2020-10-07 07:59:45,AirAcademy,gb,1313750850075078656,https://t.co/5BnsUTupEp Click on video link for details 🌐 On This Day In History October 7th 2006 Washington Post releases video of President Donald Trump boasting of groping and kissing women without consent. The office of President sunk to a new low !!!,Click on video link for details On This Day In History October 7th 2006 Washington Post releases video of President Donald Trump boasting of groping and kissing women without consent The office of President sunk to a new low,https://twitter.com/AirAcademy/status/1313750850075078656,0.06818181818181818
2020-10-07 07:59:45,sharonnewell44,gb,1313750850385457157,"I’m not American. I’m not political but Trump needs to go. After seeing one of Joe Bidens campaigns, it actually melted my heart. ALL presidents with their dog companions and trump bragging he won’t be getting one. Biden says choose your humans carefully. Love it. #trumpsdownfall",I m not American I m not political but Trump needs to go After seeing one of Joe Bidens campaigns it actually melted my heart ALL presidents with their dog companions and trump bragging he won t be getting one Biden says choose your humans carefully Love it trumpsdownfall,https://twitter.com/sharonnewell44/status/1313750850385457157,0.125
2020-10-07 07:59:45,AbnerDignadice,us,1313750850771185669,"TRUMP IS THE BEST PRESIDENT EVER!!!
TRUMP IS THE BEST PRESIDENT EVER!!! 
TRUMP IS THE BEST PRESIDENT EVER!!! 
TRUMP IS THE BEST PRESIDENT EVER!!! 
TRUMP IS THE BEST PRESIDENT EVER!!!
#TRUMP2020
#ScreamHere",TRUMP IS THE BEST PRESIDENT EVER TRUMP IS THE BEST PRESIDENT EVER TRUMP IS THE BEST PRESIDENT EVER TRUMP IS THE BEST PRESIDENT EVER TRUMP IS THE BEST PRESIDENT EVER TRUMP2020 ScreamHere,https://twitter.com/AbnerDignadice/status/1313750850771185669,1.0
2020-10-07 07:59:45,yoelmo21,None,1313750850993561600,@MJacksonFae @AUMindyT @SpeakerPelosi There is still a legal path to citizenship. Come through the front door for legal citizenship. Trump has been in office for 3.5 years. Nancy has been in office 20 years and hasn’t helped your friend.,There is still a legal path to citizenship Come through the front door for legal citizenship Trump has been in office for 3 5 years Nancy has been in office 20 years and hasn t helped your friend,https://twitter.com/yoelmo21/status/1313750850993561600,0.2
2020-10-07 07:59:46,bevelynnparker,None,1313750851857641477,@afneil Not rising fast enough to take seriously? You’re as bad as Trump!,Not rising fast enough to take seriously You re as bad as Trump,https://twitter.com/bevelynnparker/status/1313750851857641477,-0.2083333333333333
2020-10-07 07:59:46,GaryHol45317724,None,1313750853107347456,I Was Prescribed Trump’s Steroid. It Made Me Feel Invincible #SmartNews  https://t.co/hfGElq8BBx,I Was Prescribed Trump s Steroid It Made Me Feel Invincible SmartNews,https://twitter.com/GaryHol45317724/status/1313750853107347456,0.0
2020-10-07 07:59:46,pekulium,None,1313750854139351040,Trump ist Jungianer,Trump ist Jungianer,https://twitter.com/pekulium/status/1313750854139351040,0.0
2020-10-07 07:59:46,cowplanting,th,1313750854067990529,manifesting...,manifesting,https://twitter.com/cowplanting/status/1313750854067990529,0.0
2020-10-07 07:59:47,cannoncocker311,us,1313750856001495040,@paulsperry_ Da fuck!? What is Trump’s plan? Additional tax cuts and more deregulation? More tariffs? His economic plan is like 8 year olds playing house.,Da fuck What is Trump s plan Additional tax cuts and more deregulation More tariffs His economic plan is like 8 year olds playing house,https://twitter.com/cannoncocker311/status/1313750856001495040,0.2
2020-10-07 07:59:47,drbob,us,1313750856098107392,"Where is putting in so much time working for us, the people!",Where is putting in so much time working for us the people,https://twitter.com/drbob/status/1313750856098107392,0.2
2020-10-07 07:59:47,SusanThibodaux,us,1313750856177782785,"Preach it, Bernie!",Preach it Bernie,https://twitter.com/SusanThibodaux/status/1313750856177782785,0.0
2020-10-07 07:59:47,mfoxhunter,us,1313750857092136967,"White Democrats: If black people steal from your store or steal bread, that’s reparations. 

Also White Democrats: If black people support wanting $1200 in Trump bucks, they are race traitors.",White Democrats If black people steal from your store or steal bread that s reparations Also White Democrats If black people support wanting 1200 in Trump bucks they are race traitors,https://twitter.com/mfoxhunter/status/1313750857092136967,-0.08333333333333333
2020-10-07 07:59:47,Whamukars_SA,None,1313750858480398337,@_AlexHirsch No a lot of Trump voters legit just want to hurt people,AlexHirsch No a lot of Trump voters legit just want to hurt people,https://twitter.com/Whamukars_SA/status/1313750858480398337,0.0
2020-10-07 07:59:48,tanyamarieborys,None,1313750860342595584,"@crawford_ev @SpeakerPelosi May I offer an alternative perspective? Since Pelosi was holding stimulus for Americans hostage unless she got non-COVID funding &amp; demands, Trump finally got tired of the people not getting help so he's cut off negotiations to stop her &amp; then cornered her to give $ to the people.",ev May I offer an alternative perspective Since Pelosi was holding stimulus for Americans hostage unless she got non COVID funding amp demands Trump finally got tired of the people not getting help so he s cut off negotiations to stop her amp then cornered her to give to the people,https://twitter.com/tanyamarieborys/status/1313750860342595584,-0.2
2020-10-07 07:59:48,Broscizewski,us,1313750860644614147,President Trump's War On Human Trafficking https://t.co/FXhgkNvJc2 via @YouTube,President Trump s War On Human Trafficking via,https://twitter.com/Broscizewski/status/1313750860644614147,0.0
2020-10-07 07:59:48,artificialgecko,in,1313750860837662720,That’s a lot of tweets...,That s a lot of tweets,https://twitter.com/artificialgecko/status/1313750860837662720,0.0
2020-10-07 07:59:48,milk0r,None,1313750861798023168,@southlandlocal @emmamellow @JudithCollinsMP @melissaleemp Sound like some Trump shit,Sound like some Trump shit,https://twitter.com/milk0r/status/1313750861798023168,0.1
2020-10-07 07:59:48,EShy,us,1313750861860925440,@bluespapa @texrat @raytida @edbott Biden did come out and say today that if Trump still has covid there shouldn't be a debate.,Biden did come out and say today that if Trump still has covid there shouldn t be a debate,https://twitter.com/EShy/status/1313750861860925440,0.0
2020-10-07 07:59:48,BruddahM,None,1313750863178072064,"See Brendan Gleeson As Donald Trump In First Image From New TV Series
https://t.co/5Mu4iPnGAg",See Brendan Gleeson As Donald Trump In First Image From New TV Series,https://twitter.com/BruddahM/status/1313750863178072064,0.19318181818181815
2020-10-07 07:59:48,xAuniqueSoulx,None,1313750864151171072,"@NickSouthcote @dfinn4 @PrisonPlanet Yo the media is lying to u sheep. First off trump banned travel to China but yet dems pelosi, biden, aoc called him racist and walked to Chinatown telling Americans to visit that everything's OK. Do the fucking research and stop letting corrupt coporate media lie to u. Smh",Yo the media is lying to u sheep First off trump banned travel to China but yet dems pelosi biden aoc called him racist and walked to Chinatown telling Americans to visit that everything s OK Do the fucking research and stop letting corrupt coporate media lie to u Smh,https://twitter.com/xAuniqueSoulx/status/1313750864151171072,-0.0875
2020-10-07 07:59:49,AritraTheGnome,None,1313750865128423425,@DrEricDing @JeriLRyan @tedlieu @realDonaldTrump Also Trump can’t play an instrument.,Also Trump can t play an instrument,https://twitter.com/AritraTheGnome/status/1313750865128423425,0.0
2020-10-07 07:59:49,mayfairemoonB,us,1313750865266827264,This irresponsible plague dog....,This irresponsible plague dog,https://twitter.com/mayfairemoonB/status/1313750865266827264,0.0
2020-10-07 07:59:49,LetruneInedil,None,1313750865933672449,"So, a mob boss AND a tinpot tyrant.

Sic transit gloria mundi...",So a mob boss AND a tinpot tyrant Sic transit gloria mundi,https://twitter.com/LetruneInedil/status/1313750865933672449,0.0
2020-10-07 07:59:49,amazingatheist,us,1313750865916944386,"Sure. The context is that I posted a video reacting to Trump’s COVID-19 diagnosis. It was labeled as such, as you can see in the screenshot above. It was not deceptive, it did not contain misinformation of any kind, it was not spam. I truly don’t understand how it was labeled so.",Sure The context is that I posted a video reacting to Trump s COVID 19 diagnosis It was labeled as such as you can see in the screenshot above It was not deceptive it did not contain misinformation of any kind it was not spam I truly don t understand how it was labeled so,https://twitter.com/amazingatheist/status/1313750865916944386,0.275
2020-10-07 07:59:49,tonypatt2000,None,1313750866780917765,"Len here, complaining about the Labour Party paying out huge amounts of money in legal fees! Oh Len, Sqwawkbox? Also the Trump colour dyed hair does you no favours, you miserable old goat!",Len here complaining about the Labour Party paying out huge amounts of money in legal fees Oh Len Sqwawkbox Also the Trump colour dyed hair does you no favours you miserable old goat,https://twitter.com/tonypatt2000/status/1313750866780917765,-0.07499999999999997
2020-10-07 07:59:49,Brown_Marketing,us,1313750867326259200,"https://t.co/B3g1CIwidj Facebook deletes Trump post calling COVID-19 'less lethal' than flu, Twitter adds warning label https://t.co/nTTxKpJQHJ",Facebook deletes Trump post calling COVID 19 less lethal than flu Twitter adds warning label,https://twitter.com/Brown_Marketing/status/1313750867326259200,-0.16666666666666666
2020-10-07 07:59:50,meercisuzy,tw,1313750869779902497,"@OneMoreGoodMan Posted... 
https://t.co/9pDyPtea4n",Posted,https://twitter.com/meercisuzy/status/1313750869779902497,0.0
2020-10-07 07:59:50,Traderchatbox,None,1313750871558311937,CIA Director Gina Haspel And The British Role In The Anti-Trump Plot | Zero Hedge https://t.co/JCAd3lfP6X,CIA Director Gina Haspel And The British Role In The Anti Trump Plot Zero Hedge,https://twitter.com/Traderchatbox/status/1313750871558311937,0.0
2020-10-07 07:59:50,th3whit3shadow,us,1313750872434900993,"@BeschlossDC What!? You people keep calling for defunding the police, cops are bad, when BLM or antifa attack cops you call it protesting. It’s amazing with a single motorcade ride Trump got the radical left to care about the safety and health of police officers!",What You people keep calling for defunding the police cops are bad when BLM or antifa attack cops you call it protesting It s amazing with a single motorcade ride Trump got the radical left to care about the safety and health of police officers,https://twitter.com/th3whit3shadow/status/1313750872434900993,-0.0428571428571428
2020-10-07 07:59:51,venusnative1,None,1313750873298866176,@michaelbeatty3 Trump is a fighter and a winner.,Trump is a fighter and a winner,https://twitter.com/venusnative1/status/1313750873298866176,0.0
2020-10-07 07:59:51,xbhaskarx,au,1313750872954867712,Trump campaign managers are like the Spinal Tap drummers of the political world... https://t.co/fSGsFnlYjF,Trump campaign managers are like the Spinal Tap drummers of the political world,https://twitter.com/xbhaskarx/status/1313750872954867712,0.0
2020-10-07 07:59:51,KeleJean1,None,1313750874263449600,"@SheriAWilkinson Getting more confident that we're gonna win. America is going to win. Things seem going better &amp; better. I look forward to each next day lately.  suspect even the NSA, CIA etc. have plans they are implementing or will implement to deal with Trump, who is insane.",Getting more confident that we re gonna win America is going to win Things seem going better amp better I look forward to each next day lately suspect even the NSA CIA etc have plans they are implementing or will implement to deal with Trump who is insane,https://twitter.com/KeleJean1/status/1313750874263449600,0.2555555555555556
2020-10-07 07:59:51,arichardsonxc,us,1313750874280271872,@Centrefuter @aqergh @KaitMarieox @realDonaldTrump Also you use the terms it’s a hoax used by one party lol.  It should be non partisan Trump was impeached but it wasn’t.  ohhhh but you’re not blinded by party. Lmfao. Stop lying.,Also you use the terms it s a hoax used by one party lol It should be non partisan Trump was impeached but it wasn t ohhhh but you re not blinded by party Lmfao Stop lying,https://twitter.com/arichardsonxc/status/1313750874280271872,0.8
2020-10-07 07:59:51,Karen_shiloh014,gb,1313750874481713153,@realDonaldTrump You'll win full stop..... GO TRUMP,You ll win full stop GO TRUMP,https://twitter.com/Karen_shiloh014/status/1313750874481713153,0.575
2020-10-07 07:59:51,Charlot53399013,None,1313750874527678464,POTUS needs fresh air this weekend! GO GOLFING!,POTUS needs fresh air this weekend GO GOLFING,https://twitter.com/Charlot53399013/status/1313750874527678464,0.3
2020-10-07 07:59:52,LibipsNeil,us,1313750877090410496,I think it would be funny if Trump pardoned Roger Stone. And Roger Stone came to visit him in prison,I think it would be funny if Trump pardoned Roger Stone And Roger Stone came to visit him in prison,https://twitter.com/LibipsNeil/status/1313750877090410496,0.25
2020-10-07 07:59:52,Patriot01224735,us,1313750877249904641,Best President of all time...Donald J Trump.  MAGA.  Exposing the Fake News and corrupt Deep State 24/7.,Best President of all time Donald J Trump MAGA Exposing the Fake News and corrupt Deep State 24 7,https://twitter.com/Patriot01224735/status/1313750877249904641,0.0
2020-10-07 07:59:52,DerekSherratt,None,1313750877182799872,@abcpoppins Worst days work was the setting up of Darroch! It illustrates the sort of person Johnson is!  Johnson has bet the farm on Trump and as been a cypher for him since he was manouvered into PM position! If Trump goes Johnson's days could well be numbered as well,Worst days work was the setting up of Darroch It illustrates the sort of person Johnson is Johnson has bet the farm on Trump and as been a cypher for him since he was manouvered into PM position If Trump goes Johnson s days could well be numbered as well,https://twitter.com/DerekSherratt/status/1313750877182799872,-1.0
2020-10-07 07:59:52,HeatherEyler,us,1313750877623201792,"Who signs up to be POTUS with a perspective of serving only 1 term? 

Joe Biden.

Joe Biden is the Dem scape goat to get past the next 4 years to clear a path for Clinton’s next run. We know she’s smart enough not to take a 2nd ass whoopin’ from Trump. 

How close am I?",Who signs up to be POTUS with a perspective of serving only 1 term Joe Biden Joe Biden is the Dem scape goat to get past the next 4 years to clear a path for Clinton s next run We know she s smart enough not to take a 2nd ass whoopin from Trump How close am I,https://twitter.com/HeatherEyler/status/1313750877623201792,0.008035714285714287
2020-10-07 07:59:52,Dustin_Prisley,us,1313750877933498368,"@tedcruz this is what Trump said after you bent over for him at the convention. Shave the goatee, you sackless fucking asshat. https://t.co/mRd5npilbC",this is what Trump said after you bent over for him at the convention Shave the goatee you sackless fucking asshat,https://twitter.com/Dustin_Prisley/status/1313750877933498368,-0.6
2020-10-07 07:59:52,RecruitCoin,us,1313750878269079552,@justinamash Trump suggested getting the people their money but Democrats would never allow that. And besides Democrats will not do anything until next month regardless.,Trump suggested getting the people their money but Democrats would never allow that And besides Democrats will not do anything until next month regardless,https://twitter.com/RecruitCoin/status/1313750878269079552,0.0
2020-10-07 07:59:52,realStanLester,None,1313750878277566464,@Dangerangel @cvaldary @RVAT2020 I’ll ask one more time before I give up and move on.  Give me some examples of how Trump has governed in a way that a typical republican would not have governed.,I ll ask one more time before I give up and move on Give me some examples of how Trump has governed in a way that a typical republican would not have governed,https://twitter.com/realStanLester/status/1313750878277566464,0.16666666666666669
2020-10-07 07:59:52,FranklinMarmae,None,1313750878810181632,"@realDonaldTrump Your a ass hole can't stop being pro Trump not pro America, you have turned our country upside down ever since you been in office, running the white house like a reality TV show looking for ratings president's don't look for ratings",Your a ass hole can t stop being pro Trump not pro America you have turned our country upside down ever since you been in office running the white house like a reality TV show looking for ratings president s don t look for ratings,https://twitter.com/FranklinMarmae/status/1313750878810181632,-0.07777777777777779
2020-10-07 07:59:52,sf2012,None,1313750878852128768,#TrumpTaxes .Retails stores should stop charging 'sale taxes' to their customers. The government has become a giant #StockMarket shark trader. https://t.co/Jdigf3PTdP,TrumpTaxes Retails stores should stop charging sale taxes to their customers The government has become a giant StockMarket shark trader,https://twitter.com/sf2012/status/1313750878852128768,0.0
2020-10-07 07:59:52,assuring_safety,ca,1313750879200325632,@sandi_hemming @HCTrudo @MarkRuffalo @JoeBiden Trump's actions are all you need to see the truth. He's reckless and not looking out for you at all. I wish you could see it.,hemming Trump s actions are all you need to see the truth He s reckless and not looking out for you at all I wish you could see it,https://twitter.com/assuring_safety/status/1313750879200325632,0.0
2020-10-07 07:59:52,neonspacelego,us,1313750879359692800,@SoldMeABumJuice I think trump is getting over confident. A single person cannot take down an entire system of corrupt intricate systems. But with all the crowds loving him he feels invincible. Hope this play doesn't backfire.,I think trump is getting over confident A single person cannot take down an entire system of corrupt intricate systems But with all the crowds loving him he feels invincible Hope this play doesn t backfire,https://twitter.com/neonspacelego/status/1313750879359692800,0.06216931216931217
2020-10-07 07:59:52,newsnetworks4,None,1313750880412409857,"Donald Trump turns the knife in, H-1B workers say deja vu https://t.co/44pRqbosxJ",Donald Trump turns the knife in H 1B workers say deja vu,https://twitter.com/newsnetworks4/status/1313750880412409857,0.0
2020-10-07 07:59:52,covfefe1951,None,1313750880773189632,@realDonaldTrump TRUMP VIRUS GOT YOU. https://t.co/vdiePcEb8t,TRUMP VIRUS GOT YOU,https://twitter.com/covfefe1951/status/1313750880773189632,0.0
2020-10-07 07:59:53,kingminion5,None,1313750881783828480,I’m going to have a hard time arguing against crisis actors now,I m going to have a hard time arguing against crisis actors now,https://twitter.com/kingminion5/status/1313750881783828480,-0.2916666666666667
